codepoints_hex,emoji,description
1F469 1F3FE 200D 2764 200D 1F48B 200D 1F468 1F3FF,👩🏾‍❤‍💋‍👨🏿,"kiss: woman, man, medium-dark skin tone, dark skin tone"
1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB,👩🏿‍❤️‍💋‍👨🏻,"kiss: woman, man, dark skin tone, light skin tone"
1F469 1F3FF 200D 2764 200D 1F48B 200D 1F468 1F3FB,👩🏿‍❤‍💋‍👨🏻,"kiss: woman, man, dark skin tone, light skin tone"
1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC,👩🏿‍❤️‍💋‍👨🏼,"kiss: woman, man, dark skin tone, medium-light skin tone"
1F469 1F3FF 200D 2764 200D 1F48B 200D 1F468 1F3FC,👩🏿‍❤‍💋‍👨🏼,"kiss: woman, man, dark skin tone, medium-light skin tone"
1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD,👩🏿‍❤️‍💋‍👨🏽,"kiss: woman, man, dark skin tone, medium skin tone"
1F469 1F3FF 200D 2764 200D 1F48B 200D 1F468 1F3FD,👩🏿‍❤‍💋‍👨🏽,"kiss: woman, man, dark skin tone, medium skin tone"
1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE,👩🏿‍❤️‍💋‍👨🏾,"kiss: woman, man, dark skin tone, medium-dark skin tone"
1F469 1F3FF 200D 2764 200D 1F48B 200D 1F468 1F3FE,👩🏿‍❤‍💋‍👨🏾,"kiss: woman, man, dark skin tone, medium-dark skin tone"
1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF,👩🏿‍❤️‍💋‍👨🏿,"kiss: woman, man, dark skin tone"
1F469 1F3FF 200D 2764 200D 1F48B 200D 1F468 1F3FF,👩🏿‍❤‍💋‍👨🏿,"kiss: woman, man, dark skin tone"
1F468 200D 2764 FE0F 200D 1F48B 200D 1F468,👨‍❤️‍💋‍👨,"kiss: man, man"
1F468 200D 2764 200D 1F48B 200D 1F468,👨‍❤‍💋‍👨,"kiss: man, man"
1F468 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB,👨🏻‍❤️‍💋‍👨🏻,"kiss: man, man, light skin tone"
1F468 1F3FB 200D 2764 200D 1F48B 200D 1F468 1F3FB,👨🏻‍❤‍💋‍👨🏻,"kiss: man, man, light skin tone"
1F468 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC,👨🏻‍❤️‍💋‍👨🏼,"kiss: man, man, light skin tone, medium-light skin tone"
1F468 1F3FB 200D 2764 200D 1F48B 200D 1F468 1F3FC,👨🏻‍❤‍💋‍👨🏼,"kiss: man, man, light skin tone, medium-light skin tone"
1F468 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD,👨🏻‍❤️‍💋‍👨🏽,"kiss: man, man, light skin tone, medium skin tone"
1F468 1F3FB 200D 2764 200D 1F48B 200D 1F468 1F3FD,👨🏻‍❤‍💋‍👨🏽,"kiss: man, man, light skin tone, medium skin tone"
1F468 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE,👨🏻‍❤️‍💋‍👨🏾,"kiss: man, man, light skin tone, medium-dark skin tone"
1F468 1F3FB 200D 2764 200D 1F48B 200D 1F468 1F3FE,👨🏻‍❤‍💋‍👨🏾,"kiss: man, man, light skin tone, medium-dark skin tone"
1F468 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF,👨🏻‍❤️‍💋‍👨🏿,"kiss: man, man, light skin tone, dark skin tone"
1F468 1F3FB 200D 2764 200D 1F48B 200D 1F468 1F3FF,👨🏻‍❤‍💋‍👨🏿,"kiss: man, man, light skin tone, dark skin tone"
1F468 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB,👨🏼‍❤️‍💋‍👨🏻,"kiss: man, man, medium-light skin tone, light skin tone"
1F468 1F3FC 200D 2764 200D 1F48B 200D 1F468 1F3FB,👨🏼‍❤‍💋‍👨🏻,"kiss: man, man, medium-light skin tone, light skin tone"
1F468 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC,👨🏼‍❤️‍💋‍👨🏼,"kiss: man, man, medium-light skin tone"
1F468 1F3FC 200D 2764 200D 1F48B 200D 1F468 1F3FC,👨🏼‍❤‍💋‍👨🏼,"kiss: man, man, medium-light skin tone"
1F468 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD,👨🏼‍❤️‍💋‍👨🏽,"kiss: man, man, medium-light skin tone, medium skin tone"
1F468 1F3FC 200D 2764 200D 1F48B 200D 1F468 1F3FD,👨🏼‍❤‍💋‍👨🏽,"kiss: man, man, medium-light skin tone, medium skin tone"
1F468 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE,👨🏼‍❤️‍💋‍👨🏾,"kiss: man, man, medium-light skin tone, medium-dark skin tone"
1F468 1F3FC 200D 2764 200D 1F48B 200D 1F468 1F3FE,👨🏼‍❤‍💋‍👨🏾,"kiss: man, man, medium-light skin tone, medium-dark skin tone"
1F468 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF,👨🏼‍❤️‍💋‍👨🏿,"kiss: man, man, medium-light skin tone, dark skin tone"
1F468 1F3FC 200D 2764 200D 1F48B 200D 1F468 1F3FF,👨🏼‍❤‍💋‍👨🏿,"kiss: man, man, medium-light skin tone, dark skin tone"
1F468 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB,👨🏽‍❤️‍💋‍👨🏻,"kiss: man, man, medium skin tone, light skin tone"
1F468 1F3FD 200D 2764 200D 1F48B 200D 1F468 1F3FB,👨🏽‍❤‍💋‍👨🏻,"kiss: man, man, medium skin tone, light skin tone"
1F468 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC,👨🏽‍❤️‍💋‍👨🏼,"kiss: man, man, medium skin tone, medium-light skin tone"
1F468 1F3FD 200D 2764 200D 1F48B 200D 1F468 1F3FC,👨🏽‍❤‍💋‍👨🏼,"kiss: man, man, medium skin tone, medium-light skin tone"
1F468 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD,👨🏽‍❤️‍💋‍👨🏽,"kiss: man, man, medium skin tone"
1F468 1F3FD 200D 2764 200D 1F48B 200D 1F468 1F3FD,👨🏽‍❤‍💋‍👨🏽,"kiss: man, man, medium skin tone"
1F468 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE,👨🏽‍❤️‍💋‍👨🏾,"kiss: man, man, medium skin tone, medium-dark skin tone"
1F468 1F3FD 200D 2764 200D 1F48B 200D 1F468 1F3FE,👨🏽‍❤‍💋‍👨🏾,"kiss: man, man, medium skin tone, medium-dark skin tone"
1F468 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF,👨🏽‍❤️‍💋‍👨🏿,"kiss: man, man, medium skin tone, dark skin tone"
1F468 1F3FD 200D 2764 200D 1F48B 200D 1F468 1F3FF,👨🏽‍❤‍💋‍👨🏿,"kiss: man, man, medium skin tone, dark skin tone"
1F468 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB,👨🏾‍❤️‍💋‍👨🏻,"kiss: man, man, medium-dark skin tone, light skin tone"
1F468 1F3FE 200D 2764 200D 1F48B 200D 1F468 1F3FB,👨🏾‍❤‍💋‍👨🏻,"kiss: man, man, medium-dark skin tone, light skin tone"
1F468 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC,👨🏾‍❤️‍💋‍👨🏼,"kiss: man, man, medium-dark skin tone, medium-light skin tone"
1F468 1F3FE 200D 2764 200D 1F48B 200D 1F468 1F3FC,👨🏾‍❤‍💋‍👨🏼,"kiss: man, man, medium-dark skin tone, medium-light skin tone"
1F468 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD,👨🏾‍❤️‍💋‍👨🏽,"kiss: man, man, medium-dark skin tone, medium skin tone"
1F468 1F3FE 200D 2764 200D 1F48B 200D 1F468 1F3FD,👨🏾‍❤‍💋‍👨🏽,"kiss: man, man, medium-dark skin tone, medium skin tone"
1F468 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE,👨🏾‍❤️‍💋‍👨🏾,"kiss: man, man, medium-dark skin tone"
1F468 1F3FE 200D 2764 200D 1F48B 200D 1F468 1F3FE,👨🏾‍❤‍💋‍👨🏾,"kiss: man, man, medium-dark skin tone"
1F468 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF,👨🏾‍❤️‍💋‍👨🏿,"kiss: man, man, medium-dark skin tone, dark skin tone"
1F468 1F3FE 200D 2764 200D 1F48B 200D 1F468 1F3FF,👨🏾‍❤‍💋‍👨🏿,"kiss: man, man, medium-dark skin tone, dark skin tone"
1F468 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB,👨🏿‍❤️‍💋‍👨🏻,"kiss: man, man, dark skin tone, light skin tone"
1F468 1F3FF 200D 2764 200D 1F48B 200D 1F468 1F3FB,👨🏿‍❤‍💋‍👨🏻,"kiss: man, man, dark skin tone, light skin tone"
1F468 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC,👨🏿‍❤️‍💋‍👨🏼,"kiss: man, man, dark skin tone, medium-light skin tone"
1F468 1F3FF 200D 2764 200D 1F48B 200D 1F468 1F3FC,👨🏿‍❤‍💋‍👨🏼,"kiss: man, man, dark skin tone, medium-light skin tone"
1F468 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD,👨🏿‍❤️‍💋‍👨🏽,"kiss: man, man, dark skin tone, medium skin tone"
1F468 1F3FF 200D 2764 200D 1F48B 200D 1F468 1F3FD,👨🏿‍❤‍💋‍👨🏽,"kiss: man, man, dark skin tone, medium skin tone"
1F468 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE,👨🏿‍❤️‍💋‍👨🏾,"kiss: man, man, dark skin tone, medium-dark skin tone"
1F468 1F3FF 200D 2764 200D 1F48B 200D 1F468 1F3FE,👨🏿‍❤‍💋‍👨🏾,"kiss: man, man, dark skin tone, medium-dark skin tone"
1F468 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF,👨🏿‍❤️‍💋‍👨🏿,"kiss: man, man, dark skin tone"
1F468 1F3FF 200D 2764 200D 1F48B 200D 1F468 1F3FF,👨🏿‍❤‍💋‍👨🏿,"kiss: man, man, dark skin tone"
1F469 200D 2764 FE0F 200D 1F48B 200D 1F469,👩‍❤️‍💋‍👩,"kiss: woman, woman"
1F469 200D 2764 200D 1F48B 200D 1F469,👩‍❤‍💋‍👩,"kiss: woman, woman"
1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FB,👩🏻‍❤️‍💋‍👩🏻,"kiss: woman, woman, light skin tone"
1F469 1F3FB 200D 2764 200D 1F48B 200D 1F469 1F3FB,👩🏻‍❤‍💋‍👩🏻,"kiss: woman, woman, light skin tone"
1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FC,👩🏻‍❤️‍💋‍👩🏼,"kiss: woman, woman, light skin tone, medium-light skin tone"
1F469 1F3FB 200D 2764 200D 1F48B 200D 1F469 1F3FC,👩🏻‍❤‍💋‍👩🏼,"kiss: woman, woman, light skin tone, medium-light skin tone"
1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FD,👩🏻‍❤️‍💋‍👩🏽,"kiss: woman, woman, light skin tone, medium skin tone"
1F469 1F3FB 200D 2764 200D 1F48B 200D 1F469 1F3FD,👩🏻‍❤‍💋‍👩🏽,"kiss: woman, woman, light skin tone, medium skin tone"
1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FE,👩🏻‍❤️‍💋‍👩🏾,"kiss: woman, woman, light skin tone, medium-dark skin tone"
1F469 1F3FB 200D 2764 200D 1F48B 200D 1F469 1F3FE,👩🏻‍❤‍💋‍👩🏾,"kiss: woman, woman, light skin tone, medium-dark skin tone"
1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FF,👩🏻‍❤️‍💋‍👩🏿,"kiss: woman, woman, light skin tone, dark skin tone"
1F469 1F3FB 200D 2764 200D 1F48B 200D 1F469 1F3FF,👩🏻‍❤‍💋‍👩🏿,"kiss: woman, woman, light skin tone, dark skin tone"
1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FB,👩🏼‍❤️‍💋‍👩🏻,"kiss: woman, woman, medium-light skin tone, light skin tone"
1F469 1F3FC 200D 2764 200D 1F48B 200D 1F469 1F3FB,👩🏼‍❤‍💋‍👩🏻,"kiss: woman, woman, medium-light skin tone, light skin tone"
1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FC,👩🏼‍❤️‍💋‍👩🏼,"kiss: woman, woman, medium-light skin tone"
1F469 1F3FC 200D 2764 200D 1F48B 200D 1F469 1F3FC,👩🏼‍❤‍💋‍👩🏼,"kiss: woman, woman, medium-light skin tone"
1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FD,👩🏼‍❤️‍💋‍👩🏽,"kiss: woman, woman, medium-light skin tone, medium skin tone"
1F469 1F3FC 200D 2764 200D 1F48B 200D 1F469 1F3FD,👩🏼‍❤‍💋‍👩🏽,"kiss: woman, woman, medium-light skin tone, medium skin tone"
1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FE,👩🏼‍❤️‍💋‍👩🏾,"kiss: woman, woman, medium-light skin tone, medium-dark skin tone"
1F469 1F3FC 200D 2764 200D 1F48B 200D 1F469 1F3FE,👩🏼‍❤‍💋‍👩🏾,"kiss: woman, woman, medium-light skin tone, medium-dark skin tone"
1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FF,👩🏼‍❤️‍💋‍👩🏿,"kiss: woman, woman, medium-light skin tone, dark skin tone"
1F469 1F3FC 200D 2764 200D 1F48B 200D 1F469 1F3FF,👩🏼‍❤‍💋‍👩🏿,"kiss: woman, woman, medium-light skin tone, dark skin tone"
1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FB,👩🏽‍❤️‍💋‍👩🏻,"kiss: woman, woman, medium skin tone, light skin tone"
1F469 1F3FD 200D 2764 200D 1F48B 200D 1F469 1F3FB,👩🏽‍❤‍💋‍👩🏻,"kiss: woman, woman, medium skin tone, light skin tone"
1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FC,👩🏽‍❤️‍💋‍👩🏼,"kiss: woman, woman, medium skin tone, medium-light skin tone"
1F469 1F3FD 200D 2764 200D 1F48B 200D 1F469 1F3FC,👩🏽‍❤‍💋‍👩🏼,"kiss: woman, woman, medium skin tone, medium-light skin tone"
1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FD,👩🏽‍❤️‍💋‍👩🏽,"kiss: woman, woman, medium skin tone"
1F469 1F3FD 200D 2764 200D 1F48B 200D 1F469 1F3FD,👩🏽‍❤‍💋‍👩🏽,"kiss: woman, woman, medium skin tone"
1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FE,👩🏽‍❤️‍💋‍👩🏾,"kiss: woman, woman, medium skin tone, medium-dark skin tone"
1F469 1F3FD 200D 2764 200D 1F48B 200D 1F469 1F3FE,👩🏽‍❤‍💋‍👩🏾,"kiss: woman, woman, medium skin tone, medium-dark skin tone"
1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FF,👩🏽‍❤️‍💋‍👩🏿,"kiss: woman, woman, medium skin tone, dark skin tone"
1F469 1F3FD 200D 2764 200D 1F48B 200D 1F469 1F3FF,👩🏽‍❤‍💋‍👩🏿,"kiss: woman, woman, medium skin tone, dark skin tone"
1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FB,👩🏾‍❤️‍💋‍👩🏻,"kiss: woman, woman, medium-dark skin tone, light skin tone"
1F469 1F3FE 200D 2764 200D 1F48B 200D 1F469 1F3FB,👩🏾‍❤‍💋‍👩🏻,"kiss: woman, woman, medium-dark skin tone, light skin tone"
1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FC,👩🏾‍❤️‍💋‍👩🏼,"kiss: woman, woman, medium-dark skin tone, medium-light skin tone"
1F469 1F3FE 200D 2764 200D 1F48B 200D 1F469 1F3FC,👩🏾‍❤‍💋‍👩🏼,"kiss: woman, woman, medium-dark skin tone, medium-light skin tone"
1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FD,👩🏾‍❤️‍💋‍👩🏽,"kiss: woman, woman, medium-dark skin tone, medium skin tone"
1F469 1F3FE 200D 2764 200D 1F48B 200D 1F469 1F3FD,👩🏾‍❤‍💋‍👩🏽,"kiss: woman, woman, medium-dark skin tone, medium skin tone"
1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FE,👩🏾‍❤️‍💋‍👩🏾,"kiss: woman, woman, medium-dark skin tone"
1F469 1F3FE 200D 2764 200D 1F48B 200D 1F469 1F3FE,👩🏾‍❤‍💋‍👩🏾,"kiss: woman, woman, medium-dark skin tone"
1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FF,👩🏾‍❤️‍💋‍👩🏿,"kiss: woman, woman, medium-dark skin tone, dark skin tone"
1F469 1F3FE 200D 2764 200D 1F48B 200D 1F469 1F3FF,👩🏾‍❤‍💋‍👩🏿,"kiss: woman, woman, medium-dark skin tone, dark skin tone"
1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FB,👩🏿‍❤️‍💋‍👩🏻,"kiss: woman, woman, dark skin tone, light skin tone"
1F469 1F3FF 200D 2764 200D 1F48B 200D 1F469 1F3FB,👩🏿‍❤‍💋‍👩🏻,"kiss: woman, woman, dark skin tone, light skin tone"
1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FC,👩🏿‍❤️‍💋‍👩🏼,"kiss: woman, woman, dark skin tone, medium-light skin tone"
1F469 1F3FF 200D 2764 200D 1F48B 200D 1F469 1F3FC,👩🏿‍❤‍💋‍👩🏼,"kiss: woman, woman, dark skin tone, medium-light skin tone"
1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FD,👩🏿‍❤️‍💋‍👩🏽,"kiss: woman, woman, dark skin tone, medium skin tone"
1F469 1F3FF 200D 2764 200D 1F48B 200D 1F469 1F3FD,👩🏿‍❤‍💋‍👩🏽,"kiss: woman, woman, dark skin tone, medium skin tone"
1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FE,👩🏿‍❤️‍💋‍👩🏾,"kiss: woman, woman, dark skin tone, medium-dark skin tone"
1F469 1F3FF 200D 2764 200D 1F48B 200D 1F469 1F3FE,👩🏿‍❤‍💋‍👩🏾,"kiss: woman, woman, dark skin tone, medium-dark skin tone"
1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FF,👩🏿‍❤️‍💋‍👩🏿,"kiss: woman, woman, dark skin tone"
1F469 1F3FF 200D 2764 200D 1F48B 200D 1F469 1F3FF,👩🏿‍❤‍💋‍👩🏿,"kiss: woman, woman, dark skin tone"
1F491,💑,couple with heart
1F491 1F3FB,💑🏻,couple with heart: light skin tone
1F491 1F3FC,💑🏼,couple with heart: medium-light skin tone
1F491 1F3FD,💑🏽,couple with heart: medium skin tone
1F491 1F3FE,💑🏾,couple with heart: medium-dark skin tone
1F491 1F3FF,💑🏿,couple with heart: dark skin tone
1F9D1 1F3FB 200D 2764 FE0F 200D 1F9D1 1F3FC,🧑🏻‍❤️‍🧑🏼,"couple with heart: person, person, light skin tone, medium-light skin tone"
1F9D1 1F3FB 200D 2764 200D 1F9D1 1F3FC,🧑🏻‍❤‍🧑🏼,"couple with heart: person, person, light skin tone, medium-light skin tone"
1F9D1 1F3FB 200D 2764 FE0F 200D 1F9D1 1F3FD,🧑🏻‍❤️‍🧑🏽,"couple with heart: person, person, light skin tone, medium skin tone"
1F9D1 1F3FB 200D 2764 200D 1F9D1 1F3FD,🧑🏻‍❤‍🧑🏽,"couple with heart: person, person, light skin tone, medium skin tone"
1F9D1 1F3FB 200D 2764 FE0F 200D 1F9D1 1F3FE,🧑🏻‍❤️‍🧑🏾,"couple with heart: person, person, light skin tone, medium-dark skin tone"
1F9D1 1F3FB 200D 2764 200D 1F9D1 1F3FE,🧑🏻‍❤‍🧑🏾,"couple with heart: person, person, light skin tone, medium-dark skin tone"
1F9D1 1F3FB 200D 2764 FE0F 200D 1F9D1 1F3FF,🧑🏻‍❤️‍🧑🏿,"couple with heart: person, person, light skin tone, dark skin tone"
1F9D1 1F3FB 200D 2764 200D 1F9D1 1F3FF,🧑🏻‍❤‍🧑🏿,"couple with heart: person, person, light skin tone, dark skin tone"
1F9D1 1F3FC 200D 2764 FE0F 200D 1F9D1 1F3FB,🧑🏼‍❤️‍🧑🏻,"couple with heart: person, person, medium-light skin tone, light skin tone"
1F9D1 1F3FC 200D 2764 200D 1F9D1 1F3FB,🧑🏼‍❤‍🧑🏻,"couple with heart: person, person, medium-light skin tone, light skin tone"
1F9D1 1F3FC 200D 2764 FE0F 200D 1F9D1 1F3FD,🧑🏼‍❤️‍🧑🏽,"couple with heart: person, person, medium-light skin tone, medium skin tone"
1F9D1 1F3FC 200D 2764 200D 1F9D1 1F3FD,🧑🏼‍❤‍🧑🏽,"couple with heart: person, person, medium-light skin tone, medium skin tone"
1F9D1 1F3FC 200D 2764 FE0F 200D 1F9D1 1F3FE,🧑🏼‍❤️‍🧑🏾,"couple with heart: person, person, medium-light skin tone, medium-dark skin tone"
1F9D1 1F3FC 200D 2764 200D 1F9D1 1F3FE,🧑🏼‍❤‍🧑🏾,"couple with heart: person, person, medium-light skin tone, medium-dark skin tone"
1F9D1 1F3FC 200D 2764 FE0F 200D 1F9D1 1F3FF,🧑🏼‍❤️‍🧑🏿,"couple with heart: person, person, medium-light skin tone, dark skin tone"
1F9D1 1F3FC 200D 2764 200D 1F9D1 1F3FF,🧑🏼‍❤‍🧑🏿,"couple with heart: person, person, medium-light skin tone, dark skin tone"
1F9D1 1F3FD 200D 2764 FE0F 200D 1F9D1 1F3FB,🧑🏽‍❤️‍🧑🏻,"couple with heart: person, person, medium skin tone, light skin tone"
1F9D1 1F3FD 200D 2764 200D 1F9D1 1F3FB,🧑🏽‍❤‍🧑🏻,"couple with heart: person, person, medium skin tone, light skin tone"
1F9D1 1F3FD 200D 2764 FE0F 200D 1F9D1 1F3FC,🧑🏽‍❤️‍🧑🏼,"couple with heart: person, person, medium skin tone, medium-light skin tone"
1F9D1 1F3FD 200D 2764 200D 1F9D1 1F3FC,🧑🏽‍❤‍🧑🏼,"couple with heart: person, person, medium skin tone, medium-light skin tone"
1F9D1 1F3FD 200D 2764 FE0F 200D 1F9D1 1F3FE,🧑🏽‍❤️‍🧑🏾,"couple with heart: person, person, medium skin tone, medium-dark skin tone"
1F9D1 1F3FD 200D 2764 200D 1F9D1 1F3FE,🧑🏽‍❤‍🧑🏾,"couple with heart: person, person, medium skin tone, medium-dark skin tone"
1F9D1 1F3FD 200D 2764 FE0F 200D 1F9D1 1F3FF,🧑🏽‍❤️‍🧑🏿,"couple with heart: person, person, medium skin tone, dark skin tone"
1F9D1 1F3FD 200D 2764 200D 1F9D1 1F3FF,🧑🏽‍❤‍🧑🏿,"couple with heart: person, person, medium skin tone, dark skin tone"
1F9D1 1F3FE 200D 2764 FE0F 200D 1F9D1 1F3FB,🧑🏾‍❤️‍🧑🏻,"couple with heart: person, person, medium-dark skin tone, light skin tone"
1F9D1 1F3FE 200D 2764 200D 1F9D1 1F3FB,🧑🏾‍❤‍🧑🏻,"couple with heart: person, person, medium-dark skin tone, light skin tone"
1F9D1 1F3FE 200D 2764 FE0F 200D 1F9D1 1F3FC,🧑🏾‍❤️‍🧑🏼,"couple with heart: person, person, medium-dark skin tone, medium-light skin tone"
1F9D1 1F3FE 200D 2764 200D 1F9D1 1F3FC,🧑🏾‍❤‍🧑🏼,"couple with heart: person, person, medium-dark skin tone, medium-light skin tone"
1F9D1 1F3FE 200D 2764 FE0F 200D 1F9D1 1F3FD,🧑🏾‍❤️‍🧑🏽,"couple with heart: person, person, medium-dark skin tone, medium skin tone"
1F9D1 1F3FE 200D 2764 200D 1F9D1 1F3FD,🧑🏾‍❤‍🧑🏽,"couple with heart: person, person, medium-dark skin tone, medium skin tone"
1F9D1 1F3FE 200D 2764 FE0F 200D 1F9D1 1F3FF,🧑🏾‍❤️‍🧑🏿,"couple with heart: person, person, medium-dark skin tone, dark skin tone"
1F9D1 1F3FE 200D 2764 200D 1F9D1 1F3FF,🧑🏾‍❤‍🧑🏿,"couple with heart: person, person, medium-dark skin tone, dark skin tone"
1F9D1 1F3FF 200D 2764 FE0F 200D 1F9D1 1F3FB,🧑🏿‍❤️‍🧑🏻,"couple with heart: person, person, dark skin tone, light skin tone"
1F9D1 1F3FF 200D 2764 200D 1F9D1 1F3FB,🧑🏿‍❤‍🧑🏻,"couple with heart: person, person, dark skin tone, light skin tone"
1F9D1 1F3FF 200D 2764 FE0F 200D 1F9D1 1F3FC,🧑🏿‍❤️‍🧑🏼,"couple with heart: person, person, dark skin tone, medium-light skin tone"
1F9D1 1F3FF 200D 2764 200D 1F9D1 1F3FC,🧑🏿‍❤‍🧑🏼,"couple with heart: person, person, dark skin tone, medium-light skin tone"
1F9D1 1F3FF 200D 2764 FE0F 200D 1F9D1 1F3FD,🧑🏿‍❤️‍🧑🏽,"couple with heart: person, person, dark skin tone, medium skin tone"
1F9D1 1F3FF 200D 2764 200D 1F9D1 1F3FD,🧑🏿‍❤‍🧑🏽,"couple with heart: person, person, dark skin tone, medium skin tone"
1F9D1 1F3FF 200D 2764 FE0F 200D 1F9D1 1F3FE,🧑🏿‍❤️‍🧑🏾,"couple with heart: person, person, dark skin tone, medium-dark skin tone"
1F9D1 1F3FF 200D 2764 200D 1F9D1 1F3FE,🧑🏿‍❤‍🧑🏾,"couple with heart: person, person, dark skin tone, medium-dark skin tone"
1F469 200D 2764 FE0F 200D 1F468,👩‍❤️‍👨,"couple with heart: woman, man"
1F469 200D 2764 200D 1F468,👩‍❤‍👨,"couple with heart: woman, man"
1F469 1F3FB 200D 2764 FE0F 200D 1F468 1F3FB,👩🏻‍❤️‍👨🏻,"couple with heart: woman, man, light skin tone"
1F469 1F3FB 200D 2764 200D 1F468 1F3FB,👩🏻‍❤‍👨🏻,"couple with heart: woman, man, light skin tone"
1F469 1F3FB 200D 2764 FE0F 200D 1F468 1F3FC,👩🏻‍❤️‍👨🏼,"couple with heart: woman, man, light skin tone, medium-light skin tone"
1F469 1F3FB 200D 2764 200D 1F468 1F3FC,👩🏻‍❤‍👨🏼,"couple with heart: woman, man, light skin tone, medium-light skin tone"
1F469 1F3FB 200D 2764 FE0F 200D 1F468 1F3FD,👩🏻‍❤️‍👨🏽,"couple with heart: woman, man, light skin tone, medium skin tone"
1F469 1F3FB 200D 2764 200D 1F468 1F3FD,👩🏻‍❤‍👨🏽,"couple with heart: woman, man, light skin tone, medium skin tone"
1F469 1F3FB 200D 2764 FE0F 200D 1F468 1F3FE,👩🏻‍❤️‍👨🏾,"couple with heart: woman, man, light skin tone, medium-dark skin tone"
1F469 1F3FB 200D 2764 200D 1F468 1F3FE,👩🏻‍❤‍👨🏾,"couple with heart: woman, man, light skin tone, medium-dark skin tone"
